bucket,file,total_lines,size_bytes,peak_rss_kb,iteration,load_ms,modify_ms,save_ms,total_ms
Small (<100 lines),minimal-multi-service.yml,19,299,4604,0,0.211205,0.008242,0.257933,0.47738
Small (<100 lines),minimal-multi-service.yml,19,299,4604,1,0.103658,0.001508,0.147794,0.25296
Small (<100 lines),minimal-multi-service.yml,19,299,4604,2,0.085093,0.001359,8.08771,8.17416
Small (<100 lines),minimal-multi-service.yml,19,299,4604,3,0.163006,0.003826,0.249284,0.416116
Small (<100 lines),minimal-multi-service.yml,19,299,4604,4,0.133384,0.002069,0.194544,0.329997
Small (<100 lines),minimal-multi-service.yml,19,299,4604,5,0.124377,0.001552,0.162746,0.288675
Small (<100 lines),minimal-multi-service.yml,19,299,4604,6,0.117024,0.001515,0.162397,0.280936
Small (<100 lines),minimal-multi-service.yml,19,299,4604,7,0.119315,0.001355,0.152659,0.273329
Small (<100 lines),minimal-multi-service.yml,19,299,4604,8,0.111601,0.001425,0.145436,0.258462
Small (<100 lines),minimal-multi-service.yml,19,299,4604,9,0.128417,0.002418,0.163806,0.294641
Small (<100 lines),minimal-multi-service.yml,19,299,4604,10,0.076462,0.000678,0.079022,0.156162
Small (<100 lines),minimal-multi-service.yml,19,299,4604,11,0.064925,0.000575,0.071927,0.137427
Small (<100 lines),minimal-multi-service.yml,19,299,4604,12,0.062216,0.000447,0.06849,0.131153
Small (<100 lines),minimal-multi-service.yml,19,299,4604,13,0.059943,0.000477,0.067894,0.128314
Small (<100 lines),minimal-multi-service.yml,19,299,4604,14,0.059834,0.00044,0.067178,0.127452
Small (<100 lines),minimal-multi-service.yml,19,299,4604,15,0.063431,0.000464,0.068965,0.13286
Small (<100 lines),minimal-multi-service.yml,19,299,4604,16,0.060609,0.000466,0.068294,0.129369
Small (<100 lines),minimal-multi-service.yml,19,299,4604,17,0.06112,0.000482,0.068506,0.130108
Small (<100 lines),minimal-multi-service.yml,19,299,4604,18,0.06105,0.000469,0.067622,0.129141
Small (<100 lines),minimal-multi-service.yml,19,299,4604,19,0.061578,0.000469,0.070681,0.132728
Small (<100 lines),minimal-multi-service.yml,19,299,4604,20,0.065178,0.000528,0.071836,0.137542
Small (<100 lines),minimal-multi-service.yml,19,299,4604,21,0.065045,0.000465,0.071282,0.136792
Small (<100 lines),minimal-multi-service.yml,19,299,4604,22,0.068291,0.000493,0.073554,0.142338
Small (<100 lines),minimal-multi-service.yml,19,299,4604,23,0.065669,0.000553,0.074276,0.140498
Small (<100 lines),minimal-multi-service.yml,19,299,4604,24,0.065961,0.000519,0.085591,0.152071
Small (<100 lines),minimal-multi-service.yml,19,299,4604,25,0.067241,0.000527,0.074507,0.142275
Small (<100 lines),minimal-multi-service.yml,19,299,4604,26,0.066815,0.000518,0.077472,0.144805
Small (<100 lines),minimal-multi-service.yml,19,299,4604,27,0.071051,0.000535,0.07746,0.149046
Small (<100 lines),minimal-multi-service.yml,19,299,4604,28,0.069865,0.000599,0.076342,0.146806
Small (<100 lines),minimal-multi-service.yml,19,299,4604,29,0.068305,0.00052,0.076018,0.144843
Small (<100 lines),anchors-and-aliases.yml,12,226,4572,0,0.255365,0.008395,0.350078,0.613838
Small (<100 lines),anchors-and-aliases.yml,12,226,4572,1,0.117018,0.002346,0.171932,0.291296
Small (<100 lines),anchors-and-aliases.yml,12,226,4572,2,0.105444,0.002135,0.154138,0.261717
Small (<100 lines),anchors-and-aliases.yml,12,226,4572,3,0.101647,0.001859,0.147158,0.250664
Small (<100 lines),anchors-and-aliases.yml,12,226,4572,4,0.100378,0.001882,0.148802,0.251062
Small (<100 lines),anchors-and-aliases.yml,12,226,4572,5,0.103844,0.002029,0.166471,0.272344
Small (<100 lines),anchors-and-aliases.yml,12,226,4572,6,0.112942,0.002236,0.170678,0.285856
Small (<100 lines),anchors-and-aliases.yml,12,226,4572,7,0.115468,0.00255,0.185034,0.303052
Small (<100 lines),anchors-and-aliases.yml,12,226,4572,8,0.119405,0.002337,0.180718,0.30246
Small (<100 lines),anchors-and-aliases.yml,12,226,4572,9,0.121376,0.002266,0.184509,0.308151
Small (<100 lines),anchors-and-aliases.yml,12,226,4572,10,0.117411,0.0023,0.181819,0.30153
Small (<100 lines),anchors-and-aliases.yml,12,226,4572,11,0.113216,0.002262,0.167031,0.282509
Small (<100 lines),anchors-and-aliases.yml,12,226,4572,12,0.108066,0.002052,0.154342,0.26446
Small (<100 lines),anchors-and-aliases.yml,12,226,4572,13,0.103746,0.001887,0.20833,0.313963
Small (<100 lines),anchors-and-aliases.yml,12,226,4572,14,0.108486,0.001994,0.159017,0.269497
Small (<100 lines),anchors-and-aliases.yml,12,226,4572,15,0.105489,0.002081,0.148543,0.256113
Small (<100 lines),anchors-and-aliases.yml,12,226,4572,16,0.097731,0.001822,0.144426,0.243979
Small (<100 lines),anchors-and-aliases.yml,12,226,4572,17,0.096824,0.001804,0.145572,0.2442
Small (<100 lines),anchors-and-aliases.yml,12,226,4572,18,0.093251,0.001737,0.137721,0.232709
Small (<100 lines),anchors-and-aliases.yml,12,226,4572,19,0.087652,0.001578,0.128842,0.218072
Small (<100 lines),anchors-and-aliases.yml,12,226,4572,20,0.086196,0.001642,0.127172,0.21501
Small (<100 lines),anchors-and-aliases.yml,12,226,4572,21,0.085192,0.001608,0.121966,0.208766
Small (<100 lines),anchors-and-aliases.yml,12,226,4572,22,0.078668,0.001472,0.115506,0.195646
Small (<100 lines),anchors-and-aliases.yml,12,226,4572,23,0.078465,0.001471,0.114567,0.194503
Small (<100 lines),anchors-and-aliases.yml,12,226,4572,24,0.076892,0.001569,0.112926,0.191387
Small (<100 lines),anchors-and-aliases.yml,12,226,4572,25,0.076015,0.001411,0.113593,0.191019
Small (<100 lines),anchors-and-aliases.yml,12,226,4572,26,0.07695,0.001421,0.106367,0.184738
Small (<100 lines),anchors-and-aliases.yml,12,226,4572,27,0.068922,0.001258,0.101897,0.172077
Small (<100 lines),anchors-and-aliases.yml,12,226,4572,28,0.068071,0.001266,0.097112,0.166449
Small (<100 lines),anchors-and-aliases.yml,12,226,4572,29,0.064086,0.00118,0.095282,0.160548
Small (<100 lines),deploy-placement-and-profiles.yml,10,216,4616,0,0.208353,0.01065,0.252478,0.471481
Small (<100 lines),deploy-placement-and-profiles.yml,10,216,4616,1,0.078352,0.001466,0.134903,0.214721
Small (<100 lines),deploy-placement-and-profiles.yml,10,216,4616,2,0.07443,0.001457,0.127173,0.20306
Small (<100 lines),deploy-placement-and-profiles.yml,10,216,4616,3,0.075689,0.001475,0.121118,0.198282
Small (<100 lines),deploy-placement-and-profiles.yml,10,216,4616,4,0.075399,0.001341,0.118789,0.195529
Small (<100 lines),deploy-placement-and-profiles.yml,10,216,4616,5,0.073225,0.001386,0.118671,0.193282
Small (<100 lines),deploy-placement-and-profiles.yml,10,216,4616,6,0.072771,0.001367,0.146764,0.220902
Small (<100 lines),deploy-placement-and-profiles.yml,10,216,4616,7,0.079975,0.001594,0.126571,0.20814
Small (<100 lines),deploy-placement-and-profiles.yml,10,216,4616,8,0.078128,0.00142,0.125945,0.205493
Small (<100 lines),deploy-placement-and-profiles.yml,10,216,4616,9,0.078313,0.001412,0.129994,0.209719
Small (<100 lines),deploy-placement-and-profiles.yml,10,216,4616,10,0.080956,0.001428,0.129255,0.211639
Small (<100 lines),deploy-placement-and-profiles.yml,10,216,4616,11,0.080594,0.001417,0.127789,0.2098
Small (<100 lines),deploy-placement-and-profiles.yml,10,216,4616,12,0.08221,0.001435,0.136048,0.219693
Small (<100 lines),deploy-placement-and-profiles.yml,10,216,4616,13,0.083566,0.001469,0.134119,0.219154
Small (<100 lines),deploy-placement-and-profiles.yml,10,216,4616,14,0.086485,0.001586,0.145921,0.233992
Small (<100 lines),deploy-placement-and-profiles.yml,10,216,4616,15,0.091476,0.001719,0.14168,0.234875
Small (<100 lines),deploy-placement-and-profiles.yml,10,216,4616,16,0.094523,0.00168,0.156539,0.252742
Small (<100 lines),deploy-placement-and-profiles.yml,10,216,4616,17,0.100304,0.001815,0.155346,0.257465
Small (<100 lines),deploy-placement-and-profiles.yml,10,216,4616,18,0.091773,0.00165,0.149306,0.242729
Small (<100 lines),deploy-placement-and-profiles.yml,10,216,4616,19,0.089274,0.001553,0.15171,0.242537
Small (<100 lines),deploy-placement-and-profiles.yml,10,216,4616,20,0.085793,0.001496,0.133754,0.221043
Small (<100 lines),deploy-placement-and-profiles.yml,10,216,4616,21,0.082499,0.001427,0.130003,0.213929
Small (<100 lines),deploy-placement-and-profiles.yml,10,216,4616,22,0.07951,0.001442,0.126862,0.207814
Small (<100 lines),deploy-placement-and-profiles.yml,10,216,4616,23,0.078955,0.001379,0.167662,0.247996
Small (<100 lines),deploy-placement-and-profiles.yml,10,216,4616,24,0.076464,0.001627,0.089922,0.168013
Small (<100 lines),deploy-placement-and-profiles.yml,10,216,4616,25,0.04453,0.000567,0.072164,0.117261
Small (<100 lines),deploy-placement-and-profiles.yml,10,216,4616,26,0.041543,0.00051,0.067596,0.109649
Small (<100 lines),deploy-placement-and-profiles.yml,10,216,4616,27,0.041127,0.000495,0.066159,0.107781
Small (<100 lines),deploy-placement-and-profiles.yml,10,216,4616,28,0.042034,0.000505,0.065029,0.107568
Small (<100 lines),deploy-placement-and-profiles.yml,10,216,4616,29,0.041242,0.000473,0.065964,0.107679
Small (<100 lines),extends-keyword.yml,10,152,4520,0,0.265737,0.010416,0.318178,0.594331
Small (<100 lines),extends-keyword.yml,10,152,4520,1,0.078797,0.002037,0.117575,0.198409
Small (<100 lines),extends-keyword.yml,10,152,4520,2,0.051454,0.001132,0.078618,0.131204
Small (<100 lines),extends-keyword.yml,10,152,4520,3,0.048353,0.000818,0.064267,0.113438
Small (<100 lines),extends-keyword.yml,10,152,4520,4,0.047448,0.000738,0.065068,0.113254
Small (<100 lines),extends-keyword.yml,10,152,4520,5,0.046187,0.000653,0.059335,0.106175
Small (<100 lines),extends-keyword.yml,10,152,4520,6,0.045049,0.000582,0.058195,0.103826
Small (<100 lines),extends-keyword.yml,10,152,4520,7,0.044063,0.000633,0.056992,0.101688
Small (<100 lines),extends-keyword.yml,10,152,4520,8,0.044286,0.000586,0.055798,0.10067
Small (<100 lines),extends-keyword.yml,10,152,4520,9,0.043813,0.000594,0.056689,0.101096
Small (<100 lines),extends-keyword.yml,10,152,4520,10,0.044222,0.000673,0.056268,0.101163
Small (<100 lines),extends-keyword.yml,10,152,4520,11,0.043931,0.000567,0.057389,0.101887
Small (<100 lines),extends-keyword.yml,10,152,4520,12,0.044996,0.000558,0.058559,0.104113
Small (<100 lines),extends-keyword.yml,10,152,4520,13,0.045297,0.00065,0.057861,0.103808
Small (<100 lines),extends-keyword.yml,10,152,4520,14,0.045765,0.000667,0.05882,0.105252
Small (<100 lines),extends-keyword.yml,10,152,4520,15,0.045083,0.000598,0.057817,0.103498
Small (<100 lines),extends-keyword.yml,10,152,4520,16,0.044892,0.000591,0.05913,0.104613
Small (<100 lines),extends-keyword.yml,10,152,4520,17,0.044876,0.000614,0.057463,0.102953
Small (<100 lines),extends-keyword.yml,10,152,4520,18,0.044888,0.000656,0.057885,0.103429
Small (<100 lines),extends-keyword.yml,10,152,4520,19,0.044271,0.000581,0.057316,0.102168
Small (<100 lines),extends-keyword.yml,10,152,4520,20,0.044442,0.000583,0.058135,0.10316
Small (<100 lines),extends-keyword.yml,10,152,4520,21,0.044303,0.000631,0.061359,0.106293
Small (<100 lines),extends-keyword.yml,10,152,4520,22,0.047783,0.000718,0.061814,0.110315
Small (<100 lines),extends-keyword.yml,10,152,4520,23,0.04862,0.000601,0.063747,0.112968
Small (<100 lines),extends-keyword.yml,10,152,4520,24,0.047969,0.000685,0.062091,0.110745
Small (<100 lines),extends-keyword.yml,10,152,4520,25,0.047944,0.000665,0.062681,0.11129
Small (<100 lines),extends-keyword.yml,10,152,4520,26,0.048111,0.000657,0.062066,0.110834
Small (<100 lines),extends-keyword.yml,10,152,4520,27,0.047659,0.000716,0.062827,0.111202
Small (<100 lines),extends-keyword.yml,10,152,4520,28,0.048225,0.000716,0.06244,0.111381
Small (<100 lines),extends-keyword.yml,10,152,4520,29,0.047862,0.000754,0.061473,0.110089
Small (<100 lines),external-resources.yml,24,359,4604,0,0.297364,0.008925,0.354726,0.661015
Small (<100 lines),external-resources.yml,24,359,4604,1,0.11505,0.00171,0.14002,0.25678
Small (<100 lines),external-resources.yml,24,359,4604,2,0.097968,0.000907,0.122323,0.221198
Small (<100 lines),external-resources.yml,24,359,4604,3,0.093059,0.000707,0.113737,0.207503
Small (<100 lines),external-resources.yml,24,359,4604,4,0.0918,0.000668,0.110131,0.202599
Small (<100 lines),external-resources.yml,24,359,4604,5,0.091166,0.000597,0.109374,0.201137
Small (<100 lines),external-resources.yml,24,359,4604,6,0.089576,0.000564,0.108255,0.198395
Small (<100 lines),external-resources.yml,24,359,4604,7,0.094622,0.000586,0.1166,0.211808
Small (<100 lines),external-resources.yml,24,359,4604,8,0.094258,0.000604,0.11677,0.211632
Small (<100 lines),external-resources.yml,24,359,4604,9,0.094104,0.000613,0.11719,0.211907
Small (<100 lines),external-resources.yml,24,359,4604,10,0.097748,0.000589,0.117965,0.216302
Small (<100 lines),external-resources.yml,24,359,4604,11,0.096964,0.000629,0.117838,0.215431
Small (<100 lines),external-resources.yml,24,359,4604,12,0.09979,0.00058,0.128636,0.229006
Small (<100 lines),external-resources.yml,24,359,4604,13,0.105019,0.000691,0.127341,0.233051
Small (<100 lines),external-resources.yml,24,359,4604,14,0.105974,0.000708,0.127349,0.234031
Small (<100 lines),external-resources.yml,24,359,4604,15,0.104574,0.000679,0.12873,0.233983
Small (<100 lines),external-resources.yml,24,359,4604,16,0.100149,0.000574,0.121793,0.222516
Small (<100 lines),external-resources.yml,24,359,4604,17,0.100532,0.000672,0.15148,0.252684
Small (<100 lines),external-resources.yml,24,359,4604,18,0.12593,0.001616,0.138592,0.266138
Small (<100 lines),external-resources.yml,24,359,4604,19,0.101091,0.000944,0.105815,0.20785
Small (<100 lines),external-resources.yml,24,359,4604,20,0.093937,0.000544,0.096504,0.190985
Small (<100 lines),external-resources.yml,24,359,4604,21,0.094009,0.000502,0.09418,0.188691
Small (<100 lines),external-resources.yml,24,359,4604,22,0.093158,0.000477,0.09493,0.188565
Small (<100 lines),external-resources.yml,24,359,4604,23,0.091913,0.000506,0.097025,0.189444
Small (<100 lines),external-resources.yml,24,359,4604,24,0.095767,0.000548,0.096751,0.193066
Small (<100 lines),external-resources.yml,24,359,4604,25,0.093924,0.000498,0.097057,0.191479
Small (<100 lines),external-resources.yml,24,359,4604,26,0.096271,0.000478,0.09933,0.196079
Small (<100 lines),external-resources.yml,24,359,4604,27,0.094732,0.000509,0.096599,0.19184
Small (<100 lines),external-resources.yml,24,359,4604,28,0.097128,0.000533,0.100208,0.197869
Small (<100 lines),external-resources.yml,24,359,4604,29,0.098013,0.000527,0.100629,0.199169
Small (<100 lines),include-directive.yml,7,107,4572,0,0.278797,0.011463,0.335028,0.625288
Small (<100 lines),include-directive.yml,7,107,4572,1,0.115183,0.00272,0.181541,0.299444
Small (<100 lines),include-directive.yml,7,107,4572,2,0.084275,0.002375,0.159457,0.246107
Small (<100 lines),include-directive.yml,7,107,4572,3,0.081724,0.002203,0.151869,0.235796
Small (<100 lines),include-directive.yml,7,107,4572,4,0.079857,0.002076,0.151335,0.233268
Small (<100 lines),include-directive.yml,7,107,4572,5,0.078433,0.002003,0.144975,0.225411
Small (<100 lines),include-directive.yml,7,107,4572,6,0.078728,0.002084,0.145991,0.226803
Small (<100 lines),include-directive.yml,7,107,4572,7,0.145258,0.00293,0.146425,0.294613
Small (<100 lines),include-directive.yml,7,107,4572,8,0.06353,0.001268,0.108444,0.173242
Small (<100 lines),include-directive.yml,7,107,4572,9,0.056462,0.001191,0.101287,0.15894
Small (<100 lines),include-directive.yml,7,107,4572,10,0.055412,0.001027,0.10112,0.157559
Small (<100 lines),include-directive.yml,7,107,4572,11,0.055702,0.001063,0.098836,0.155601
Small (<100 lines),include-directive.yml,7,107,4572,12,0.053696,0.001064,0.098489,0.153249
Small (<100 lines),include-directive.yml,7,107,4572,13,0.053316,0.000993,0.09824,0.152549
Small (<100 lines),include-directive.yml,7,107,4572,14,0.05355,0.001034,0.102157,0.156741
Small (<100 lines),include-directive.yml,7,107,4572,15,0.047627,0.001038,0.08911,0.137775
Small (<100 lines),include-directive.yml,7,107,4572,16,0.048196,0.000912,0.088091,0.137199
Small (<100 lines),include-directive.yml,7,107,4572,17,0.046328,0.000937,0.085334,0.132599
Small (<100 lines),include-directive.yml,7,107,4572,18,0.045335,0.000878,0.084707,0.13092
Small (<100 lines),include-directive.yml,7,107,4572,19,0.045443,0.000896,0.08489,0.131229
Small (<100 lines),include-directive.yml,7,107,4572,20,0.045177,0.000868,0.084244,0.130289
Small (<100 lines),include-directive.yml,7,107,4572,21,0.045486,0.000836,0.084262,0.130584
Small (<100 lines),include-directive.yml,7,107,4572,22,0.045234,0.000878,0.079923,0.126035
Small (<100 lines),include-directive.yml,7,107,4572,23,0.039885,0.000791,0.07424,0.114916
Small (<100 lines),include-directive.yml,7,107,4572,24,0.040729,0.000801,0.074052,0.115582
Small (<100 lines),include-directive.yml,7,107,4572,25,0.040042,0.000814,0.074257,0.115113
Small (<100 lines),include-directive.yml,7,107,4572,26,0.039928,0.000789,0.074648,0.115365
Small (<100 lines),include-directive.yml,7,107,4572,27,0.040058,0.000834,0.074119,0.115011
Small (<100 lines),include-directive.yml,7,107,4572,28,0.040995,0.000795,0.071457,0.113247
Small (<100 lines),include-directive.yml,7,107,4572,29,0.036144,0.000691,0.067981,0.104816
Small (<100 lines),null-and-empty-values.yml,12,174,4628,0,0.280304,0.01603,0.346617,0.642951
Small (<100 lines),null-and-empty-values.yml,12,174,4628,1,0.115739,0.002461,0.186745,0.304945
Small (<100 lines),null-and-empty-values.yml,12,174,4628,2,0.106542,0.002186,0.180967,0.289695
Small (<100 lines),null-and-empty-values.yml,12,174,4628,3,0.104392,0.002088,0.164761,0.271241
Small (<100 lines),null-and-empty-values.yml,12,174,4628,4,0.105301,0.002249,0.174969,0.282519
Small (<100 lines),null-and-empty-values.yml,12,174,4628,5,0.108142,0.002153,0.285189,0.395484
Small (<100 lines),null-and-empty-values.yml,12,174,4628,6,0.088301,0.00193,0.131799,0.22203
Small (<100 lines),null-and-empty-values.yml,12,174,4628,7,0.065782,0.001095,0.087944,0.154821
Small (<100 lines),null-and-empty-values.yml,12,174,4628,8,0.061594,0.000716,0.078572,0.140882
Small (<100 lines),null-and-empty-values.yml,12,174,4628,9,0.061106,0.000711,0.072348,0.134165
Small (<100 lines),null-and-empty-values.yml,12,174,4628,10,0.060005,0.000708,0.072246,0.132959
Small (<100 lines),null-and-empty-values.yml,12,174,4628,11,0.058578,0.000702,0.071011,0.130291
Small (<100 lines),null-and-empty-values.yml,12,174,4628,12,0.062488,0.000675,0.074365,0.137528
Small (<100 lines),null-and-empty-values.yml,12,174,4628,13,0.061632,0.000664,0.072775,0.135071
Small (<100 lines),null-and-empty-values.yml,12,174,4628,14,0.061258,0.000632,0.072277,0.134167
Small (<100 lines),null-and-empty-values.yml,12,174,4628,15,0.060527,0.000694,0.077544,0.138765
Small (<100 lines),null-and-empty-values.yml,12,174,4628,16,0.061467,0.000638,0.074184,0.136289
Small (<100 lines),null-and-empty-values.yml,12,174,4628,17,0.06032,0.000654,0.073703,0.134677
Small (<100 lines),null-and-empty-values.yml,12,174,4628,18,0.060193,0.000611,0.07421,0.135014
Small (<100 lines),null-and-empty-values.yml,12,174,4628,19,0.059249,0.000631,0.079267,0.139147
Small (<100 lines),null-and-empty-values.yml,12,174,4628,20,0.060581,0.000641,0.07445,0.135672
Small (<100 lines),null-and-empty-values.yml,12,174,4628,21,0.059006,0.000703,0.071457,0.131166
Small (<100 lines),null-and-empty-values.yml,12,174,4628,22,0.059171,0.00065,0.073789,0.13361
Small (<100 lines),null-and-empty-values.yml,12,174,4628,23,0.058105,0.000573,0.072575,0.131253
Small (<100 lines),null-and-empty-values.yml,12,174,4628,24,0.059317,0.0006,0.071886,0.131803
Small (<100 lines),null-and-empty-values.yml,12,174,4628,25,0.058206,0.000616,0.071238,0.13006
Small (<100 lines),null-and-empty-values.yml,12,174,4628,26,0.059093,0.000671,0.071231,0.130995
Small (<100 lines),null-and-empty-values.yml,12,174,4628,27,0.058479,0.000673,0.071396,0.130548
Small (<100 lines),null-and-empty-values.yml,12,174,4628,28,0.056625,0.000555,0.06641,0.12359
Small (<100 lines),null-and-empty-values.yml,12,174,4628,29,0.054278,0.000569,0.06614,0.120987
Small (<100 lines),quoted-scalar-types.yml,13,276,4624,0,0.32518,0.013527,0.38879,0.727497
Small (<100 lines),quoted-scalar-types.yml,13,276,4624,1,0.142845,0.002578,0.215979,0.361402
Small (<100 lines),quoted-scalar-types.yml,13,276,4624,2,0.131077,0.002215,0.23611,0.369402
Small (<100 lines),quoted-scalar-types.yml,13,276,4624,3,0.122918,0.002105,0.190357,0.31538
Small (<100 lines),quoted-scalar-types.yml,13,276,4624,4,0.119379,0.002156,0.186179,0.307714
Small (<100 lines),quoted-scalar-types.yml,13,276,4624,5,0.117747,0.002036,0.184201,0.303984
Small (<100 lines),quoted-scalar-types.yml,13,276,4624,6,0.118917,0.001944,0.181908,0.302769
Small (<100 lines),quoted-scalar-types.yml,13,276,4624,7,0.116931,0.001858,0.181453,0.300242
Small (<100 lines),quoted-scalar-types.yml,13,276,4624,8,0.117462,0.001829,0.182639,0.30193
Small (<100 lines),quoted-scalar-types.yml,13,276,4624,9,0.111874,0.001713,0.170551,0.284138
Small (<100 lines),quoted-scalar-types.yml,13,276,4624,10,0.105325,0.001699,0.163209,0.270233
Small (<100 lines),quoted-scalar-types.yml,13,276,4624,11,0.100577,0.001607,0.155473,0.257657
Small (<100 lines),quoted-scalar-types.yml,13,276,4624,12,0.101675,0.0016,0.15496,0.258235
Small (<100 lines),quoted-scalar-types.yml,13,276,4624,13,0.093625,0.001472,0.14324,0.238337
Small (<100 lines),quoted-scalar-types.yml,13,276,4624,14,0.090155,0.001435,0.137433,0.229023
Small (<100 lines),quoted-scalar-types.yml,13,276,4624,15,0.089533,0.00142,0.135983,0.226936
Small (<100 lines),quoted-scalar-types.yml,13,276,4624,16,0.098833,0.001415,0.218539,0.318787
Small (<100 lines),quoted-scalar-types.yml,13,276,4624,17,0.065515,0.001368,0.074404,0.141287
Small (<100 lines),quoted-scalar-types.yml,13,276,4624,18,0.047819,0.000521,0.057274,0.105614
Small (<100 lines),quoted-scalar-types.yml,13,276,4624,19,0.045021,0.000452,0.053623,0.099096
Small (<100 lines),quoted-scalar-types.yml,13,276,4624,20,0.04536,0.000444,0.054328,0.100132
Small (<100 lines),quoted-scalar-types.yml,13,276,4624,21,0.045696,0.000481,0.054597,0.100774
Small (<100 lines),quoted-scalar-types.yml,13,276,4624,22,0.046983,0.000427,0.053636,0.101046
Small (<100 lines),quoted-scalar-types.yml,13,276,4624,23,0.046171,0.000465,0.052952,0.099588
Small (<100 lines),quoted-scalar-types.yml,13,276,4624,24,0.043789,0.000465,0.05336,0.097614
Small (<100 lines),quoted-scalar-types.yml,13,276,4624,25,0.044142,0.000444,0.053113,0.097699
Small (<100 lines),quoted-scalar-types.yml,13,276,4624,26,0.045188,0.000446,0.05331,0.098944
Small (<100 lines),quoted-scalar-types.yml,13,276,4624,27,0.043656,0.00043,0.056178,0.100264
Small (<100 lines),quoted-scalar-types.yml,13,276,4624,28,0.045661,0.00049,0.056131,0.102282
Small (<100 lines),quoted-scalar-types.yml,13,276,4624,29,0.045727,0.000469,0.055769,0.101965
Small (<100 lines),similar-looking-env-keys.yml,7,122,4628,0,0.216712,0.011063,0.305301,0.533076
Small (<100 lines),similar-looking-env-keys.yml,7,122,4628,1,0.083232,0.002003,0.150583,0.235818
Small (<100 lines),similar-looking-env-keys.yml,7,122,4628,2,0.07329,0.001826,0.138559,0.213675
Small (<100 lines),similar-looking-env-keys.yml,7,122,4628,3,0.072244,0.001791,0.134232,0.208267
Small (<100 lines),similar-looking-env-keys.yml,7,122,4628,4,0.07125,0.00176,0.130512,0.203522
Small (<100 lines),similar-looking-env-keys.yml,7,122,4628,5,0.070015,0.001611,0.13065,0.202276
Small (<100 lines),similar-looking-env-keys.yml,7,122,4628,6,0.073751,0.001789,0.135002,0.210542
Small (<100 lines),similar-looking-env-keys.yml,7,122,4628,7,0.073262,0.001682,0.134517,0.209461
Small (<100 lines),similar-looking-env-keys.yml,7,122,4628,8,0.07244,0.001739,0.133081,0.20726
Small (<100 lines),similar-looking-env-keys.yml,7,122,4628,9,0.073031,0.001753,0.133558,0.208342
Small (<100 lines),similar-looking-env-keys.yml,7,122,4628,10,0.072231,0.001751,0.133198,0.20718
Small (<100 lines),similar-looking-env-keys.yml,7,122,4628,11,0.071665,0.001689,0.131662,0.205016
Small (<100 lines),similar-looking-env-keys.yml,7,122,4628,12,0.071951,0.001655,0.133172,0.206778
Small (<100 lines),similar-looking-env-keys.yml,7,122,4628,13,0.071082,0.001661,0.131026,0.203769
Small (<100 lines),similar-looking-env-keys.yml,7,122,4628,14,0.071602,0.001658,0.131711,0.204971
Small (<100 lines),similar-looking-env-keys.yml,7,122,4628,15,0.070513,0.001675,0.130309,0.202497
Small (<100 lines),similar-looking-env-keys.yml,7,122,4628,16,0.070942,0.001707,0.130777,0.203426
Small (<100 lines),similar-looking-env-keys.yml,7,122,4628,17,0.070695,0.001713,0.1421,0.214508
Small (<100 lines),similar-looking-env-keys.yml,7,122,4628,18,0.072723,0.001768,0.137133,0.211624
Small (<100 lines),similar-looking-env-keys.yml,7,122,4628,19,0.070231,0.001744,0.13399,0.205965
Small (<100 lines),similar-looking-env-keys.yml,7,122,4628,20,0.048297,0.000965,0.080129,0.129391
Small (<100 lines),similar-looking-env-keys.yml,7,122,4628,21,0.040304,0.000937,0.077104,0.118345
Small (<100 lines),similar-looking-env-keys.yml,7,122,4628,22,0.040209,0.000982,0.074781,0.115972
Small (<100 lines),similar-looking-env-keys.yml,7,122,4628,23,0.040678,0.000975,0.074837,0.11649
Small (<100 lines),similar-looking-env-keys.yml,7,122,4628,24,0.040029,0.000955,0.074505,0.115489
Small (<100 lines),similar-looking-env-keys.yml,7,122,4628,25,0.039655,0.000967,0.075195,0.115817
Small (<100 lines),similar-looking-env-keys.yml,7,122,4628,26,0.039703,0.001001,0.074814,0.115518
Small (<100 lines),similar-looking-env-keys.yml,7,122,4628,27,0.039613,0.000968,0.074965,0.115546
Small (<100 lines),similar-looking-env-keys.yml,7,122,4628,28,0.0395,0.000965,0.074479,0.114944
Small (<100 lines),similar-looking-env-keys.yml,7,122,4628,29,0.039588,0.000946,0.074931,0.115465
Small (<100 lines),unicode-and-special-chars.yml,7,189,4564,0,0.267036,0.009815,0.337525,0.614376
Small (<100 lines),unicode-and-special-chars.yml,7,189,4564,1,0.109365,0.002385,0.186234,0.297984
Small (<100 lines),unicode-and-special-chars.yml,7,189,4564,2,0.083617,0.002138,0.170374,0.256129
Small (<100 lines),unicode-and-special-chars.yml,7,189,4564,3,0.063091,0.001743,0.092224,0.157058
Small (<100 lines),unicode-and-special-chars.yml,7,189,4564,4,0.044249,0.000823,0.075006,0.120078
Small (<100 lines),unicode-and-special-chars.yml,7,189,4564,5,0.040774,0.000619,0.065754,0.107147
Small (<100 lines),unicode-and-special-chars.yml,7,189,4564,6,0.039816,0.000521,0.064073,0.10441
Small (<100 lines),unicode-and-special-chars.yml,7,189,4564,7,0.038965,0.000514,0.064205,0.103684
Small (<100 lines),unicode-and-special-chars.yml,7,189,4564,8,0.038749,0.000552,0.063038,0.102339
